Table 1
LSOAcode,LSOAname,houseprice
E01008614,South Tyneside 023A,"122,500"
E01008615,South Tyneside 023B,"123,500"
E01008616,South Tyneside 022A,"195,500"
E01008617,South Tyneside 023C,"220,000"
E01008618,South Tyneside 022B,"305,000"
E01008619,South Tyneside 022C,"245,000"
E01008620,South Tyneside 023D,"191,100"
E01008621,South Tyneside 022D,"285,000"
E01008622,South Tyneside 013A,"206,250"
E01008624,South Tyneside 018A,"169,750"
E01008625,South Tyneside 013C,null
E01008627,South Tyneside 020A,"117,500"
E01008628,South Tyneside 020B,"97,500"
E01008629,South Tyneside 020C,"144,500"
E01008630,South Tyneside 020D,"92,475"
E01008631,South Tyneside 017A,"110,750"
E01008632,South Tyneside 017B,"105,750"
E01008633,South Tyneside 008A,"109,500"
E01008634,South Tyneside 008B,null
E01008635,South Tyneside 006A,"145,000"
E01008636,South Tyneside 008C,"120,750"
E01008637,South Tyneside 008D,"150,750"
E01008638,South Tyneside 010A,"100,000"
E01008639,South Tyneside 009A,"129,998"
E01008640,South Tyneside 010B,"122,500"
E01008641,South Tyneside 010C,null
E01008642,South Tyneside 010D,"204,950"
E01008643,South Tyneside 015A,"136,000"
E01008644,South Tyneside 015B,"105,000"
E01008645,South Tyneside 015C,"245,995"
E01008646,South Tyneside 015D,"155,000"
E01008647,South Tyneside 004A,"197,000"
E01008648,South Tyneside 004B,"200,000"
E01008649,South Tyneside 004C,"150,000"
E01008650,South Tyneside 006B,"142,500"
E01008651,South Tyneside 004D,"92,880"
E01008652,South Tyneside 009B,"100,000"
E01008653,South Tyneside 009C,null
E01008654,South Tyneside 009D,"78,250"
E01008655,South Tyneside 009E,"165,000"
E01008656,South Tyneside 015E,"121,475"
E01008657,South Tyneside 009F,"170,000"
E01008658,South Tyneside 015F,null
E01008659,South Tyneside 017C,"135,000"
E01008660,South Tyneside 007C,"149,000"
E01008661,South Tyneside 007D,"99,975"
E01008662,South Tyneside 017D,"125,000"
E01008663,South Tyneside 017E,"148,500"
E01008664,South Tyneside 002A,"62,500"
E01008665,South Tyneside 002B,"75,000"
E01008666,South Tyneside 002C,"154,995"
E01008667,South Tyneside 002D,"117,500"
E01008668,South Tyneside 002E,"68,000"
E01008669,South Tyneside 012B,"120,000"
E01008670,South Tyneside 014D,"83,000"
E01008671,South Tyneside 012C,null
E01008672,South Tyneside 012D,"107,500"
E01008673,South Tyneside 003A,"174,000"
E01008674,South Tyneside 006C,"227,500"
E01008675,South Tyneside 003B,"85,500"
E01008676,South Tyneside 003C,"149,000"
E01008677,South Tyneside 003D,"134,442"
E01008678,South Tyneside 003E,"144,000"
E01008679,South Tyneside 005A,"138,750"
E01008680,South Tyneside 005B,"192,250"
E01008681,South Tyneside 006D,"255,000"
E01008682,South Tyneside 005C,"174,500"
E01008683,South Tyneside 005D,"77,250"
E01008684,South Tyneside 018B,"135,750"
E01008685,South Tyneside 018C,"154,475"
E01008686,South Tyneside 018D,"125,000"
E01008687,South Tyneside 018E,"151,975"
E01008688,South Tyneside 019A,"90,000"
E01008689,South Tyneside 019B,"90,000"
E01008690,South Tyneside 019C,"90,000"
E01008691,South Tyneside 019D,"140,000"
E01008692,South Tyneside 019E,"97,000"
E01033074,South Tyneside 013E,"127,000"
E01008693,Sunderland 008A,"97,000"
E01008694,Sunderland 008B,"89,000"
E01008695,Sunderland 008C,"88,975"
E01008696,Sunderland 008D,"161,000"
E01008697,Sunderland 008E,"102,475"
E01008698,Sunderland 003A,"68,000"
E01008699,Sunderland 008F,"69,000"
E01008700,Sunderland 013A,"97,500"
E01008701,Sunderland 011A,"119,398"
E01008702,Sunderland 016A,null
E01008703,Sunderland 013B,"75,000"
E01008704,Sunderland 011B,"83,000"
E01008705,Sunderland 013C,"70,000"
E01008706,Sunderland 011C,"65,000"
E01008707,Sunderland 011D,"70,450"
E01008708,Sunderland 005A,"170,000"
E01008709,Sunderland 005B,"51,000"
E01008711,Sunderland 005D,"108,475"
E01008712,Sunderland 004A,"105,250"
E01008713,Sunderland 001A,"180,000"
E01008714,Sunderland 034A,"105,000"
E01008715,Sunderland 034B,"88,500"
E01008716,Sunderland 034C,"175,000"
E01008717,Sunderland 034D,"98,000"
E01008718,Sunderland 035A,"148,950"
E01008719,Sunderland 035B,"52,500"
E01008720,Sunderland 032A,"90,000"
E01008721,Sunderland 032B,"160,475"
E01008722,Sunderland 001B,"165,000"
E01008723,Sunderland 002A,"272,500"
E01008724,Sunderland 001C,"175,000"
E01008725,Sunderland 002B,"156,000"
E01008726,Sunderland 001D,"154,000"
E01008727,Sunderland 002C,"130,000"
E01008728,Sunderland 002D,"145,000"
E01008729,Sunderland 021A,"81,000"
E01008730,Sunderland 021B,"89,950"
E01008731,Sunderland 021C,"73,000"
E01008732,Sunderland 021D,"103,500"
E01008733,Sunderland 021E,"81,625"
E01008734,Sunderland 021F,"142,000"
E01008735,Sunderland 016B,"100,000"
E01008736,Sunderland 016C,"37,500"
E01008737,Sunderland 016D,"65,000"
E01008738,Sunderland 016E,"50,000"
E01008739,Sunderland 024A,"115,500"
E01008740,Sunderland 022A,"220,000"
E01008741,Sunderland 024B,"109,950"
E01008742,Sunderland 035C,"59,950"
E01008743,Sunderland 036A,"62,000"
E01008744,Sunderland 036B,"134,950"
E01008745,Sunderland 036C,"127,500"
E01008746,Sunderland 036D,"127,000"
E01008747,Sunderland 035D,"250,000"
E01008748,Sunderland 035E,"131,000"
E01008749,Sunderland 034E,"130,000"
E01008750,Sunderland 033A,"180,000"
E01008751,Sunderland 033B,"131,975"
E01008752,Sunderland 033C,"144,000"
E01008753,Sunderland 033D,"79,000"
E01008754,Sunderland 034F,"68,000"
E01008755,Sunderland 033E,"60,000"
E01008756,Sunderland 012A,"85,000"
E01008757,Sunderland 015A,"67,000"
E01008758,Sunderland 015B,"164,750"
E01008759,Sunderland 015C,"105,000"
E01008760,Sunderland 018A,"136,000"
E01008761,Sunderland 015D,"180,000"
E01008762,Sunderland 012B,"69,000"
E01008763,Sunderland 028A,"85,000"
E01008764,Sunderland 028B,"121,500"
E01008765,Sunderland 031A,"157,500"
E01008766,Sunderland 028C,"189,973"
E01008767,Sunderland 031B,"90,000"
E01008768,Sunderland 028D,"129,950"
E01008769,Sunderland 028E,"84,500"
E01008770,Sunderland 031C,"160,000"
E01008771,Sunderland 031D,"112,000"
E01008772,Sunderland 029A,"217,500"
E01008773,Sunderland 026A,"77,250"
E01008774,Sunderland 029B,"155,000"
E01008775,Sunderland 029C,"205,000"
E01008776,Sunderland 026B,"92,000"
E01008777,Sunderland 026C,"101,000"
E01008778,Sunderland 026D,"104,750"
E01008779,Sunderland 024C,"116,250"
E01008780,Sunderland 024D,"147,750"
E01008781,Sunderland 022B,"202,500"
E01008782,Sunderland 022C,"177,000"
E01008783,Sunderland 022D,"239,500"
E01008784,Sunderland 022E,"158,500"
E01008785,Sunderland 022F,"177,500"
E01008786,Sunderland 006A,"165,000"
E01008787,Sunderland 006B,"100,000"
E01008788,Sunderland 006C,"117,705"
E01008789,Sunderland 006D,"165,000"
E01008790,Sunderland 006E,"162,000"
E01008791,Sunderland 006F,"101,475"
E01008792,Sunderland 002E,"246,250"
E01008793,Sunderland 030A,"85,000"
E01008795,Sunderland 030B,"150,000"
E01008796,Sunderland 032D,"185,000"
E01008797,Sunderland 030C,"199,998"
E01008799,Sunderland 025A,"201,000"
E01008800,Sunderland 030D,"80,000"
E01008801,Sunderland 030E,"139,000"
E01008802,Sunderland 029D,"119,000"
E01008803,Sunderland 027A,"84,000"
E01008804,Sunderland 027B,"128,000"
E01008805,Sunderland 027C,"80,000"
E01008808,Sunderland 029E,"171,500"
E01008809,Sunderland 026E,"114,000"
E01008810,Sunderland 014A,"85,000"
E01008811,Sunderland 014B,"105,000"
E01008812,Sunderland 012C,"105,000"
E01008813,Sunderland 014C,"139,995"
E01008814,Sunderland 014D,"89,000"
E01008817,Sunderland 004B,null
E01008819,Sunderland 004C,"80,000"
E01008820,Sunderland 005F,"53,250"
E01008821,Sunderland 004D,"67,000"
E01008822,Sunderland 004E,"82,000"
E01008823,Sunderland 023A,null
E01008824,Sunderland 023B,null
E01008825,Sunderland 023C,"103,500"
E01008826,Sunderland 023D,"100,000"
E01008827,Sunderland 023E,"83,250"
E01008828,Sunderland 023F,"79,950"
E01008829,Sunderland 023G,"76,500"
E01008830,Sunderland 018B,"107,500"
E01008831,Sunderland 013D,"88,000"
E01008832,Sunderland 018C,"106,000"
E01008833,Sunderland 018D,"106,000"
E01008834,Sunderland 013E,"122,000"
E01008835,Sunderland 022G,"141,475"
E01008836,Sunderland 016F,:
E01008837,Sunderland 003B,"70,000"
E01008838,Sunderland 003C,"92,500"
E01008839,Sunderland 003D,"80,000"
E01008840,Sunderland 003E,"89,975"
E01008841,Sunderland 003F,"112,000"
E01008842,Sunderland 004F,"118,500"
E01008843,Sunderland 019A,"131,000"
E01008844,Sunderland 019B,"167,475"
E01008845,Sunderland 017A,"165,125"
E01008846,Sunderland 017B,null
E01008847,Sunderland 017C,null
E01008848,Sunderland 019C,"128,975"
E01008849,Sunderland 019D,"174,950"
E01008850,Sunderland 017D,"196,248"
E01008851,Sunderland 017E,"85,000"
E01008852,Sunderland 019E,"128,000"
E01008853,Sunderland 009A,"86,250"
E01008854,Sunderland 009B,"25,000"
E01008855,Sunderland 007A,"140,000"
E01008856,Sunderland 007B,"138,500"
E01008857,Sunderland 009C,"75,500"
E01008858,Sunderland 009D,"65,000"
E01008859,Sunderland 009E,"66,500"
E01008860,Sunderland 009F,"98,000"
E01008861,Sunderland 025B,"182,000"
E01008862,Sunderland 025C,"234,000"
E01008863,Sunderland 025D,"274,000"
E01008864,Sunderland 025E,"299,950"
E01008865,Sunderland 025F,"107,000"
E01008866,Sunderland 025G,"106,000"
E01008867,Sunderland 020A,"119,000"
E01008868,Sunderland 020B,"125,000"
E01008869,Sunderland 020C,"114,000"
E01008870,Sunderland 020D,"138,998"
E01008871,Sunderland 020E,"102,750"
E01008872,Sunderland 020F,"157,000"
E01008873,Sunderland 010A,"142,500"
E01008874,Sunderland 010B,"117,000"
E01008875,Sunderland 010C,"118,250"
E01008876,Sunderland 007C,"254,950"
E01008877,Sunderland 007D,"128,975"
E01008878,Sunderland 009G,"117,475"
E01008879,Sunderland 010D,"70,000"
E01008880,Sunderland 010E,"104,000"
E01032483,Sunderland 032F,"95,500"
E01032484,Sunderland 032G,"100,000"
E01033075,Sunderland 005G,"71,125"
E01033076,Sunderland 012F,"120,995"
E01033077,Sunderland 027F,"209,950"
