Table 1
LSOAcode,LSOAname,houseprice
E01020761,County Durham 034B,"66,750"
E01020762,County Durham 034C,"68,500"
E01020763,County Durham 034D,"115,000"
E01020764,County Durham 036A,"26,500"
E01020765,County Durham 032F,"54,000"
E01020766,County Durham 036B,"66,000"
E01020767,County Durham 036C,"37,000"
E01020768,County Durham 036D,"76,475"
E01020769,County Durham 037B,"108,000"
E01020770,County Durham 035D,"76,500"
E01020771,County Durham 035E,null
E01020772,County Durham 043A,"170,000"
E01020773,County Durham 018E,"115,000"
E01020775,County Durham 018F,"60,000"
E01020776,County Durham 021C,"125,000"
E01020777,County Durham 037C,"70,000"
E01020778,County Durham 037D,"116,000"
E01020779,County Durham 037E,"160,000"
E01020780,County Durham 035F,"121,500"
E01020781,County Durham 016B,"122,475"
E01020782,County Durham 017D,"172,500"
E01020783,County Durham 017E,"99,975"
E01020784,County Durham 017F,"132,000"
E01020786,County Durham 016D,"200,000"
E01020787,County Durham 016E,"87,750"
E01020788,County Durham 040A,"39,999"
E01020789,County Durham 040B,"165,000"
E01020790,County Durham 040C,"50,000"
E01020791,County Durham 040D,"123,225"
E01020792,County Durham 040E,"71,500"
E01020793,County Durham 043B,"65,500"
E01020794,County Durham 043C,"164,995"
E01020795,County Durham 043D,"87,500"
E01020796,County Durham 054A,"107,500"
E01020797,County Durham 050A,"52,500"
E01020798,County Durham 050B,null
E01020799,County Durham 050C,"68,750"
E01020801,County Durham 059A,"41,750"
E01020802,County Durham 059B,"53,500"
E01020803,County Durham 053B,"132,495"
E01020805,County Durham 053D,"55,000"
E01020806,County Durham 049A,"75,975"
E01020807,County Durham 049B,"25,000"
E01020808,County Durham 050D,"69,950"
E01020809,County Durham 048A,"74,500"
E01020810,County Durham 048B,"70,500"
E01020811,County Durham 048C,"75,000"
E01020812,County Durham 048D,"95,000"
E01020813,County Durham 060A,"130,000"
E01020814,County Durham 060B,"138,000"
E01020815,County Durham 060C,"205,000"
E01020816,County Durham 061A,"56,000"
E01020817,County Durham 047A,"102,000"
E01020818,County Durham 047B,"84,250"
E01020819,County Durham 047C,"70,750"
E01020820,County Durham 049C,"131,500"
E01020821,County Durham 052A,"127,000"
E01020822,County Durham 052B,"133,498"
E01020823,County Durham 052C,"69,000"
E01020824,County Durham 063A,"85,000"
E01020825,County Durham 062A,"107,498"
E01020826,County Durham 063B,"135,500"
E01020827,County Durham 048E,"64,000"
E01020828,County Durham 054B,"200,000"
E01020829,County Durham 054C,"172,475"
E01020830,County Durham 054D,"283,620"
E01020831,County Durham 062B,"98,000"
E01020832,County Durham 063C,"114,250"
E01020833,County Durham 062C,"105,000"
E01020834,County Durham 062D,"81,000"
E01020835,County Durham 052D,"45,000"
E01020836,County Durham 052E,"154,500"
E01020837,County Durham 047D,"110,000"
E01020838,County Durham 059C,"73,475"
E01020839,County Durham 059D,"50,000"
E01020840,County Durham 059E,"156,225"
E01020841,County Durham 059F,"42,000"
E01020842,County Durham 049D,"181,950"
E01020843,County Durham 047E,"117,000"
E01020844,County Durham 061B,"58,750"
E01020845,County Durham 063D,"80,000"
E01020846,County Durham 063E,"199,975"
E01020847,County Durham 061C,"60,500"
E01020848,County Durham 060D,"151,250"
E01020849,County Durham 061D,"53,750"
E01020850,County Durham 060E,"179,000"
E01020851,County Durham 060F,"167,500"
E01020852,County Durham 066A,"175,000"
E01020853,County Durham 066B,"140,000"
E01020854,County Durham 066C,"169,000"
E01020855,County Durham 066D,"210,000"
E01020856,County Durham 064A,"75,000"
E01020857,County Durham 065A,"202,500"
E01020858,County Durham 064B,"88,500"
E01020859,County Durham 064C,"107,500"
E01020860,County Durham 064D,"50,000"
E01020861,County Durham 064E,"67,000"
E01020862,County Durham 064F,"185,000"
E01020863,County Durham 065B,"169,000"
E01020864,County Durham 064G,"140,000"
E01020865,County Durham 065C,"155,000"
E01020866,County Durham 065D,"147,500"
E01020867,County Durham 064H,"215,000"
E01020868,County Durham 055A,"125,000"
E01020869,County Durham 055B,"74,500"
E01020870,County Durham 056A,"180,000"
E01020871,County Durham 056B,"76,000"
E01020872,County Durham 056C,"88,000"
E01020873,County Durham 051A,"58,500"
E01020874,County Durham 055C,"49,000"
E01020875,County Durham 051B,"95,000"
E01020876,County Durham 045A,"70,000"
E01020877,County Durham 046A,"91,500"
E01020878,County Durham 045B,"117,750"
E01020879,County Durham 046B,"112,250"
E01020880,County Durham 055D,"32,500"
E01020881,County Durham 055E,"135,000"
E01020882,County Durham 057A,"144,500"
E01020883,County Durham 056D,"135,250"
E01020884,County Durham 058A,"84,000"
E01020885,County Durham 058B,"128,500"
E01020886,County Durham 056E,"50,000"
E01020887,County Durham 045C,"112,000"
E01020888,County Durham 057B,"90,000"
E01020889,County Durham 042A,"116,500"
E01020890,County Durham 042B,"155,000"
E01020891,County Durham 042C,"148,700"
E01020892,County Durham 045D,"52,750"
E01020893,County Durham 046C,"84,500"
E01020894,County Durham 045E,"92,500"
E01020895,County Durham 057C,"60,000"
E01020896,County Durham 057D,"108,375"
E01020897,County Durham 057E,"118,000"
E01020898,County Durham 045F,"50,000"
E01020899,County Durham 046D,"123,995"
E01020900,County Durham 051C,"139,000"
E01020901,County Durham 051D,"60,000"
E01020902,County Durham 051E,"60,000"
E01020903,County Durham 046E,"75,000"
E01020904,County Durham 046F,"115,000"
E01020905,County Durham 042D,"150,000"
E01020906,County Durham 042E,"229,000"
E01020907,County Durham 058C,"83,500"
E01020908,County Durham 058D,"99,380"
E01020909,County Durham 058E,"36,000"
E01033161,County Durham 021D,"93,000"
E01033163,County Durham 016F,"197,500"
E01033164,County Durham 030D,"125,000"
E01033195,County Durham 030E,"285,000"
E01033197,County Durham 030F,"165,000"
E01033198,County Durham 021E,"60,000"
E01033202,County Durham 016G,"98,500"
E01033203,County Durham 053E,"45,500"
E01033205,County Durham 021F,"74,500"
E01033206,County Durham 021G,"69,500"
E01033221,County Durham 030G,null
E01008288,Newcastle upon Tyne 027A,"85,600"
E01008289,Newcastle upon Tyne 027B,"103,500"
E01008290,Newcastle upon Tyne 027C,"134,995"
E01008291,Newcastle upon Tyne 027D,"69,625"
E01008292,Newcastle upon Tyne 027E,"133,500"
E01008293,Newcastle upon Tyne 004A,"135,000"
E01008294,Newcastle upon Tyne 001A,"131,500"
E01008295,Newcastle upon Tyne 008A,"87,500"
E01008296,Newcastle upon Tyne 011A,"81,975"
E01008297,Newcastle upon Tyne 011B,"141,998"
E01008298,Newcastle upon Tyne 011C,"189,995"
E01008299,Newcastle upon Tyne 011D,"108,000"
E01008300,Newcastle upon Tyne 016A,"119,000"
E01008301,Newcastle upon Tyne 026A,"142,000"
E01008302,Newcastle upon Tyne 026B,"76,500"
E01008303,Newcastle upon Tyne 018A,null
E01008304,Newcastle upon Tyne 026C,"220,500"
E01008305,Newcastle upon Tyne 026D,"140,100"
E01008306,Newcastle upon Tyne 001B,"209,995"
E01008307,Newcastle upon Tyne 001C,"189,995"
E01008308,Newcastle upon Tyne 001D,"239,248"
E01008309,Newcastle upon Tyne 002A,"293,003"
E01008311,Newcastle upon Tyne 001E,"187,500"
E01008312,Newcastle upon Tyne 001F,"160,000"
E01008313,Newcastle upon Tyne 001G,"169,000"
E01008314,Newcastle upon Tyne 012A,"148,500"
E01008315,Newcastle upon Tyne 012B,"167,500"
E01008316,Newcastle upon Tyne 012C,"188,000"
E01008317,Newcastle upon Tyne 007A,"283,500"
E01008318,Newcastle upon Tyne 012D,"130,250"
E01008319,Newcastle upon Tyne 007B,"247,500"
E01008320,Newcastle upon Tyne 007C,"237,500"
E01008321,Newcastle upon Tyne 007D,"217,500"
E01008322,Newcastle upon Tyne 007E,"234,975"
E01008323,Newcastle upon Tyne 007F,"155,996"
E01008324,Newcastle upon Tyne 015A,"80,000"
E01008325,Newcastle upon Tyne 015B,"80,000"
E01008326,Newcastle upon Tyne 015C,"152,000"
E01008327,Newcastle upon Tyne 015D,"142,995"
